All Programs,Tous les programmes
This movie is part of your {offer} offer. You can watch this movie unlimited times.,Ce film fait partie de votre offre {ofrre}. Vous pouvez regarder ce film de façon illimitée.
This movie is still available for you and can still be watched for {timeLeft}.,Ce film est toujours disponible et vous pouvez le regarder pour encore {time left}
This program is not recorded yet,Ce programme n'a pas encore été enregistré.
This program is part of your {offer} offer. You can watch this program unlimited times.,Ce programme fait partie de votre offre {ofrre}. Vous pouvez regarder ce programme de façon illimitée.
This program is still available for you and can still be watched for {timeLeft}.,Ce programme est toujours disponible et vous pouvez le regarder pour encore {time left}
Thursday,Jeudi
Title,Titre
"To fully enjoy the interactive features, please login.","Afin de profiter de toutes les fonctionnalités, vous devez vous connecter."
"To fully enjoy the interactive features, you can connect this PC portal you your account. Go on your TV decoder to:","Pour pouvoir profiter les fonctionalités interactives, vous pouvez connecter ce portails PC avec votre compte. Utilisez le menu de votre décodeur pour le faire."
Today,Aujourd'hui
Tomorrow,Demain
Tonight on TV,Ce soir à la TV
Total price for 48h rental period,Pour être payé
Trailer,Bande Annonce
Tuesday,Mardi
Unable to playback Replay,Impossible de lire le replay
VOD,Vidéo à la demande
VOD Erotic,Vidéo à al demande - érotique
Video On Demand,Vidéo à la demande
Watch {type},Regarder {type}
Wednesday,Mercredi
Year,Année
Yes,Oui
Yestarday,hier
"Your browser does not support Silverlight player, please user another browser to watch this content.","Votre navigateur est incompatible avec Silverlight, veuillez utiliser un autre navigateur pour pouvoir regarder ce fichier."
Your reminders,Vos rappels
add channel to TV favorites,Ajouter à la liste des favoris
add to bookmarks,Ajouter aux signets
alphabeticaly,ordre alphabetique
and,et
april,Avril
august,Août
available,Disponible
available for {timeLeft} hours,disponible pour {temps restant} heure(s)
back,Retour
bookmark,Marque page
cancel,Annuler
cast,Distribution
channel,Chaîne
choices,Choix
confirm,Confirmer
confirmation,Confirmation
continue,Continuer
date,date
december,Déc
enable 18+,Autoriser 18+
episode,épisode
episodeCapital,Épisode
featured TV channel,Chaînes TV recommandées
february,Fév
friday,Vendredi
from,à partir de
generated mobile services code,Generer le code de services mobiles
gratis,gratuit
hd,Haute Definition (HD)
hours,heures
hours available,Heure(s) disponible(s)
info,info
informations,termes légaux
january,Jan
july,Jui
june,Jui
live TV,Maintenant à la TV
logout,Déconnexion
march,Mar
may,Mai
message,Message
minute,minute
minutes,minutes
monday,Lundi
month,mois
months,mois
movie,film
movie rental overview text,"Cette vidéo est disponible pendant 30 jours si vous louez. Une fois que vous démarrez la vidéo, vous pouvez la regarder pendant 48 heures."
movieCapital,film
my account,Mon compte
new VOD releases,Nouveaux films
new and channel,Nouveauté et chaînes
newest,Les nouveautés
next on,Bientôt sur
november,Nov
now,Maintenant
october,Oct
or,ou
other episodes,Autres épisodes
parental pin code to continue,Code pin de contrôle parental pour pouvoir continuer
password,Mot de passe
payment PIN,Code PIN de payement
please choose device to unpair before you pair this device,Veuillez choisir un appareil à découpler avant de pouvoir coupler celui-ci.
price,Prix
program,programme
programCapital,Programme
quality selection,Selectionnez la qualité
recording,Enregistrement
reminder,Rappel
reminders,Rappels
remove,Enlever
remove channel from TV favorites,Enlever de la liste des favoris
remove from bookmarks,Supprimer des signets
remove recording,Supprimer enregistrements
results,Resultats
results for,Résulats de la recherche pour
saturday,Samedi
sd,Definition Standard (SD)
see all,Voir tout
september,Sep
suggestions,Suggestions
sunday,Dimanche
thursday,Jeudi
today,Aujourd'hui
tomorrow,Demain
tonight,Ce soir à la télévision!
tonight on TV,Ce soir à la télévision
tuesday,Mardi
userexpired,userexpired
username,Nom d'utilisateur
watch live,Regarder en direct
watch trailer,Regarder la bande annonce
wednesday,Mercredi
welcome,Bienvenue
yesterday,hier
you have,Vous avez
{offer} offer,Offre {offer}
