ACTIVATE,Activate
Make sure that your smart card is not ejected,Make sure that your smart card is not ejected
Manual configuration,Manual configuration
Media test,Media test
Media test ended,Media test ended
Minimum Age,Minimum Age
My offers,My offers
My recordings,My recordings
Network settings,Network settings
New PIN inputs do not match,new PIN inputs do not match
New PIN must be 4 digits,new PIN must be 4 digits
New PIN must be different from old PIN,new PIN must be different from old PIN
No,No
No old PIN,No old PIN entered
No rights available,No rights available
No upgrade available,No upgrade available
"No, don't scan","No, don't scan"
"No, don't search","No, don't search"
"No, keep my current configuration","No, keep my current configuration"
"No, keep my current language","No, keep my current language"
Old pin do not match,Old pin do not match
OnDemandTestMovie,OnDemandTestMovie
Online base,Online base
Operator,Operator
PIN incorrect,PIN incorrect
Parental control,Parental control
Perform factory reset,Perform factory reset
Port {port},Port {port}
Preferred DNS server,Preferred DNS server
Problem with network,Problem with network
Purchase PIN,Purchase PIN
Radio channels number:,Radio channels number:
Reboot TV decoder,Reboot TV decoder
Reboot your TV decoder,Reboot your TV decoder
Run diagnostics,Run diagnostics
SC ID (UA),SC ID (UA)
SC Label,SC Label
SETTINGS,Settings
STB Upgrade,STB Upgrade
Scan for DVB-s channels,Scan for DVB-s channels
Scan satellite channels,Scan satellite channels
Screen ratio,Screen ratio
Search OTA upgrade,Search OTA upgrade
Searching OTA upgrade,Searching OTA upgrade
Select audio output,Select audio output
Select language,Select language
Select screen ratio,Select screen ratio
Select to check for updates,Select to check for updates
Select to run bandwidth test,Select to run bandwidth test
Select to run setup wizard,Select to run setup wizard
Select to send diagnostics,Select to send diagnostics
Select to test media playback,Select to test media playback
Select video format,Select video format
Serial,Serial
Setting DiSEqC configuration failed,Setting DiSEqC configuration failed
Settings,Settings
Settopbox settings page,Following options will bring you to the settopbox local settings. Press home to return.
Settopbox type,Settopbox type
Setup Wizard,Setup Wizard
Smart card details,Smart card details
Smart card information,Smart card information
Smart card is not available,Smart card is not available
Smart card rights,Smart card rights
Smart cards supported: Explanation of parental control feature,Smart cards supported: Explanation of parental control feature
SmartCard,SmartCard
Software version,Software version
Speedcheck,Speed check
Status:,Status:
Subnet mask,Subnet mask
Succesfully changed PIN,Successfully changed PIN
System details,System details
System information,System information
System version,System version
TV SETTINGS,TV Settings
TV channels number:,TV channels number:
TV operator:,TV operator:
Test bandwidth,Test bandwidth
Testing,Testing
The pairing code will be valid for 5 minutes,The pairing code will be valid for 5 minutes
There is a newer version available: {version},There is a newer version available: {version}
This feature requires access to the internet connection.,This feature requires access to the internet connection.
Unable to complete channels scanning,Unable to complete channels scanning
Unable to start auto DiSEqC scanning,Unable to start auto DiSEqC scanning
Unable to start channels scanning,Unable to start channels scanning
Unable to start scanning,Unable to start scanning
Update now,Update now
Updater,Updater
Upgrade scanning has been aborted,Upgrade scanning has been aborted
VODTestMovie,VODTestMovie
Valid,Valid
Valid from,Valid from
Valid to,Valid to
Video format,Video format
Would you like to perform factory reset?,Would you like to perform factory reset?
Would you like to reboot TV decoder?,Would you like to reboot TV decoder?
Yes,Yes
"Yes, apply the custom configuration","Yes, apply the custom configuration"
"Yes, apply the default configuration","Yes, apply the default configuration"
"Yes, apply the detected configuration","Yes, apply the detected configuration"
"Yes, reboot now","Yes, reboot now"
"Yes, scan now","Yes, scan now"
"Yes, search now","Yes, search now"
You can pair your device by entering following pairing code inside your application.,You can pair your device by entering following pairing code inside your application.
You can set your Parental Guidance level by changing the minimum age below. Enter a value from 1 to 18. You can enter '0' when you don't want to use this feature.,You can set your Parental Guidance level by changing the minimum age below. Enter a value from 1 to 18. You can enter '0' when you don't want to use this feature.
You can test the stream only for {secs} secs,De stream kan maar voor {secs} seconden worden getest
You need an Internet connection to change your purchase pin code,You need an Internet connection to change your purchase pin code
Your FSK Level was successfully changed,Your FSK Level was successfully changed
Your PG Level was successfully changed,Your PG Level was successfully changed
Your TV decoder is up to date,Your TV decoder is up to date
actions_header,ACTIONS
activate,activate
deactivate,deactivate
enter new PIN twice,enter new PIN twice
enter old PIN,enter old PIN
failed,failed
never scanned,never scanned
old PIN incorrect,old PIN incorrect
production,production
ratio_16:9,16:9
ratio_4:3,4:3
ratio_DEFAULT,Default
ratio_SQUARE,Square
too many tries,too many tries
unknown,unknown
